array value drawn:  array average
7.43452             7.43452green
6.84915             7.14184green
5.76776             6.68381green
8.44082             7.12307green
6.21412             6.94128green
6.84915             6.92592green
7.43452             6.99858green
6.21412             6.90052green
5.99791             6.80023green
8.44082             6.96429green
5.99791             6.87644green
4.47914             6.67666green
8.44082             6.81237green
5.99791             6.75419green
6.84915             6.76052green
8.44082             6.86554green
6.84915             6.86458green
8.44082             6.95215green
6.21412              6.9133green
6.84915              6.9101green
6.15266             6.87403green
6.97135             6.87845green
6.21412             6.84957green
7.43452             6.87394green
6.84915             6.87295green
6.84915             6.87203green
5.76776             6.83114green
4.47914             6.74714green
4.47914             6.66893green
4.47914             6.59594green
5.76776             6.56922green
5.99791             6.55137green
6.21412             6.54115green
5.99791             6.52517green
8.44082              6.5799green
5.76776             6.55734green
4.47914             6.50118green
7.43452             6.52574green
6.84915             6.53403green
6.97135             6.54496green
4.47914             6.49458green
5.76776             6.47727green
6.84915             6.48592green
7.43452             6.50748green
6.97135             6.51779green
7.43452             6.53772green
6.15266             6.52952green
6.97135             6.53873green
5.99791             6.52769green
5.99791              6.5171green
6.21412             6.51116green
5.76776             6.49686green
6.97135             6.50581green
5.99791             6.49641green
4.47914             6.45973green
6.84915             6.46668green
5.99791             6.45846green
5.99791             6.45052green
8.44082             6.48425green
4.77318             6.45573green
6.21412             6.45177green
6.15266             6.44695green
4.77318             6.42038green
7.43452             6.43623green
5.76776             6.42594green
6.21412             6.42273green
6.21412             6.41962green
4.47914             6.39108green
8.44082             6.42079green
8.44082             6.44965green
6.84915             6.45527green
6.15266             6.45107green
4.47914             6.42406green
5.76776             6.41519green
5.99791             6.40963green
4.77318             6.38809green
6.84915             6.39408green
6.84915             6.39992green
4.77318             6.37932green
7.43452             6.39251green
6.21412             6.39031green
8.44082             6.41532green
5.76776             6.40752green
5.99791             6.40264green
4.47914             6.38001green
8.44082             6.40397green
5.76776             6.39666green
6.21412             6.39459green
6.97135             6.40107green
5.99791             6.39659green
5.76776             6.38968green
6.15266              6.3871green
4.77318             6.36975green
5.76776             6.36334green
6.21412             6.36177green
6.97135             6.36812green
5.76776             6.36193green
4.47914             6.34272green
8.44082             6.36391green
5.99791             6.36025green
